user_id,pref_age_min,pref_age_max,pref_height,lifestyle_pref,intent_pref
0,23,29,170,balanced,relationship
1,18,29,184,balanced,dating
2,21,30,190,balanced,marriage
3,24,30,166,spiritual,dating
4,23,29,189,party,relationship
5,22,24,160,spiritual,relationship
6,25,28,179,party,relationship
7,25,31,176,spiritual,relationship
8,20,23,175,gym,dating
9,21,31,174,balanced,marriage
10,20,27,159,party,dating
11,19,32,171,party,marriage
12,23,32,177,spiritual,dating
13,24,26,173,gym,relationship
14,21,29,157,party,marriage
15,20,31,172,gym,relationship
16,21,35,169,party,dating
17,25,29,164,gym,relationship
18,21,22,185,spiritual,relationship
19,21,28,166,spiritual,marriage
20,24,29,178,balanced,relationship
21,23,29,170,balanced,marriage
22,23,25,163,balanced,marriage
23,21,34,189,party,dating
24,25,34,175,gym,marriage
25,21,33,177,party,relationship
26,22,32,158,spiritual,marriage
27,25,33,182,gym,dating
28,18,33,190,gym,relationship
29,25,28,159,balanced,dating
30,22,32,171,gym,marriage
31,25,32,163,spiritual,dating
32,25,30,189,balanced,relationship
33,21,31,187,spiritual,dating
34,23,24,158,balanced,marriage
35,19,22,159,spiritual,marriage
36,20,32,167,party,marriage
37,20,34,166,gym,marriage
38,25,27,176,gym,dating
39,24,34,179,spiritual,relationship
40,25,28,176,party,dating
41,22,28,166,spiritual,relationship
42,25,27,166,balanced,relationship
43,21,25,177,gym,relationship
44,25,27,188,balanced,dating
45,18,20,178,gym,dating
46,18,35,155,gym,relationship
47,24,29,156,balanced,dating
48,20,24,186,party,marriage
49,21,27,161,party,marriage
50,23,33,166,spiritual,marriage
51,20,29,164,spiritual,dating
52,18,22,174,balanced,dating
53,23,34,166,party,dating
54,25,29,164,balanced,relationship
55,24,32,162,gym,relationship
56,21,27,164,party,relationship
57,21,34,180,gym,relationship
58,18,34,161,gym,marriage
59,23,32,189,spiritual,marriage
60,21,26,175,party,relationship
61,21,26,182,spiritual,relationship
62,24,26,186,gym,relationship
63,19,30,190,spiritual,marriage
64,24,29,186,balanced,marriage
65,18,35,157,party,dating
66,22,32,189,party,marriage
67,23,35,158,gym,dating
68,22,29,167,balanced,marriage
69,18,32,187,party,marriage
70,23,34,157,party,dating
71,25,28,169,balanced,dating
72,21,29,168,gym,dating
73,24,28,162,balanced,dating
74,21,32,176,party,relationship
75,21,27,180,gym,dating
76,20,30,170,balanced,relationship
77,22,26,172,spiritual,marriage
78,18,32,181,spiritual,relationship
79,21,35,186,balanced,marriage
80,18,31,157,spiritual,dating
81,21,23,162,gym,dating
82,25,27,166,balanced,dating
83,22,33,180,balanced,marriage
84,22,27,171,gym,dating
85,24,28,160,spiritual,dating
86,20,29,157,spiritual,relationship
87,19,23,169,gym,relationship
88,20,22,159,party,relationship
89,23,31,164,spiritual,marriage
90,18,35,167,party,marriage
91,23,24,155,party,relationship
92,22,25,177,spiritual,dating
93,18,31,179,party,relationship
94,19,27,166,party,relationship
95,25,26,183,gym,dating
96,22,31,165,party,marriage
97,23,24,162,gym,relationship
98,18,24,175,balanced,dating
99,20,35,161,party,dating
100,24,25,158,spiritual,marriage
101,19,27,157,gym,dating
102,25,35,179,balanced,marriage
103,24,32,170,spiritual,marriage
104,22,28,184,spiritual,dating
105,25,34,178,party,dating
106,22,33,166,spiritual,relationship
107,20,26,156,spiritual,relationship
108,20,21,184,spiritual,marriage
109,21,28,163,balanced,dating
110,24,31,181,spiritual,marriage
111,25,33,179,spiritual,relationship
112,23,29,180,party,marriage
113,21,25,168,party,marriage
114,21,35,178,spiritual,marriage
115,24,30,174,party,relationship
116,20,28,161,spiritual,relationship
117,24,25,167,party,relationship
118,20,31,179,spiritual,dating
119,25,26,168,spiritual,marriage
120,20,25,164,spiritual,marriage
121,21,24,181,balanced,relationship
122,21,35,163,spiritual,relationship
123,18,22,159,gym,dating
124,18,20,176,gym,relationship
125,23,27,164,party,relationship
126,19,31,175,spiritual,relationship
127,23,35,166,balanced,relationship
128,19,25,164,party,relationship
129,19,33,165,spiritual,marriage
130,22,34,170,gym,marriage
131,20,35,183,gym,dating
132,20,35,179,spiritual,relationship
133,25,28,156,balanced,relationship
134,20,28,156,spiritual,marriage
135,23,29,160,balanced,dating
136,20,23,174,spiritual,dating
137,19,26,175,balanced,marriage
138,19,31,186,gym,marriage
139,24,27,178,balanced,dating
140,22,31,156,spiritual,relationship
141,20,21,170,balanced,relationship
142,25,32,176,gym,relationship
143,25,27,176,gym,dating
144,18,19,174,spiritual,dating
145,25,32,179,gym,marriage
146,22,34,179,balanced,relationship
147,24,31,176,party,relationship
148,22,31,167,spiritual,relationship
149,22,24,183,gym,marriage
150,23,32,162,gym,dating
151,19,27,159,party,relationship
152,19,24,170,gym,dating
153,18,19,176,gym,dating
154,25,31,161,gym,dating
155,20,24,160,party,dating
156,19,20,182,party,dating
157,18,21,179,balanced,marriage
158,21,29,167,spiritual,marriage
159,20,28,173,gym,relationship
160,20,29,155,gym,dating
161,21,26,164,party,marriage
162,19,22,167,party,relationship
163,21,24,180,balanced,marriage
164,24,33,173,party,relationship
165,22,28,170,gym,marriage
166,22,27,165,gym,dating
167,19,35,177,gym,marriage
168,24,26,183,gym,marriage
169,19,30,178,gym,marriage
170,22,34,175,spiritual,relationship
171,25,31,186,balanced,relationship
172,23,32,167,party,marriage
173,20,21,177,spiritual,relationship
174,25,31,180,spiritual,relationship
175,25,28,164,spiritual,relationship
176,18,23,175,spiritual,marriage
177,20,27,178,gym,relationship
178,20,23,166,party,dating
179,18,31,185,party,relationship
180,23,27,156,spiritual,relationship
181,20,25,190,balanced,dating
182,21,29,186,spiritual,relationship
183,20,28,158,balanced,dating
184,19,30,185,balanced,dating
185,21,30,186,party,relationship
186,25,26,174,party,relationship
187,22,33,182,gym,marriage
188,20,29,173,balanced,marriage
189,23,35,163,balanced,marriage
190,25,27,156,spiritual,relationship
191,24,28,168,balanced,marriage
192,21,35,175,spiritual,relationship
193,23,33,176,party,dating
194,23,34,169,party,dating
195,25,35,185,gym,relationship
196,19,32,164,balanced,dating
197,25,33,172,gym,relationship
198,24,28,172,party,relationship
199,18,34,170,party,marriage
200,18,29,177,spiritual,marriage
201,20,33,172,balanced,relationship
202,23,33,189,party,marriage
203,21,31,162,balanced,marriage
204,18,25,188,balanced,dating
205,24,31,155,balanced,relationship
206,21,24,173,gym,dating
207,24,26,178,spiritual,dating
208,25,32,190,party,marriage
209,25,31,161,balanced,relationship
210,22,26,184,balanced,dating
211,20,26,156,gym,dating
212,23,32,185,balanced,dating
213,23,35,179,gym,marriage
214,24,35,175,spiritual,dating
215,23,33,157,balanced,relationship
216,18,35,158,party,relationship
217,19,22,163,party,dating
218,20,32,170,gym,relationship
219,23,29,160,spiritual,relationship
220,19,35,180,gym,marriage
221,24,35,180,party,marriage
222,19,26,183,party,dating
223,22,26,170,gym,marriage
224,18,20,169,spiritual,dating
225,18,26,169,party,dating
226,23,29,179,spiritual,dating
227,22,30,156,spiritual,marriage
228,19,21,167,gym,dating
229,21,31,186,gym,relationship
230,19,31,187,party,relationship
231,21,24,189,gym,marriage
232,22,27,190,balanced,marriage
233,24,27,167,balanced,relationship
234,21,27,171,spiritual,dating
235,22,30,156,spiritual,marriage
236,24,28,166,gym,dating
237,24,26,168,party,marriage
238,22,34,168,balanced,relationship
239,25,26,169,balanced,dating
240,18,28,155,party,dating
241,23,27,186,spiritual,marriage
242,23,31,180,party,relationship
243,25,34,173,party,dating
244,19,20,156,gym,dating
245,22,23,174,spiritual,relationship
246,20,22,158,balanced,dating
247,21,28,178,gym,relationship
248,24,35,156,balanced,dating
249,19,29,164,balanced,relationship
250,21,23,156,spiritual,dating
251,18,22,160,party,relationship
252,22,27,156,spiritual,dating
253,20,24,159,spiritual,marriage
254,24,25,157,spiritual,relationship
255,25,32,166,gym,marriage
256,18,21,172,balanced,marriage
257,25,29,172,gym,marriage
258,22,26,170,spiritual,dating
259,18,32,190,spiritual,dating
260,18,28,178,gym,marriage
261,23,31,185,party,relationship
262,23,35,190,party,relationship
263,23,30,166,spiritual,relationship
264,25,31,173,party,marriage
265,25,34,181,balanced,relationship
266,19,28,163,balanced,relationship
267,25,33,189,party,dating
268,23,32,164,balanced,marriage
269,20,34,163,party,marriage
270,24,26,181,gym,marriage
271,18,35,161,gym,relationship
272,20,32,169,balanced,relationship
273,19,30,178,spiritual,marriage
274,24,28,177,spiritual,marriage
275,19,27,184,party,marriage
276,21,33,155,gym,relationship
277,20,35,159,balanced,dating
278,24,29,168,gym,dating
279,18,19,156,balanced,dating
280,21,24,159,gym,relationship
281,25,27,182,balanced,marriage
282,24,25,174,balanced,relationship
283,23,27,174,spiritual,marriage
284,25,35,157,spiritual,dating
285,25,31,177,gym,relationship
286,25,32,189,gym,relationship
287,23,34,186,gym,relationship
288,18,34,160,spiritual,relationship
289,19,22,170,gym,relationship
290,24,30,170,spiritual,dating
291,23,28,190,spiritual,dating
292,24,26,155,party,marriage
293,18,35,183,gym,marriage
294,20,28,172,spiritual,marriage
295,18,27,162,spiritual,dating
296,25,30,165,gym,relationship
297,23,30,162,party,dating
298,21,29,186,party,dating
299,24,35,166,spiritual,dating
300,22,25,169,balanced,marriage
301,25,29,183,gym,dating
302,20,23,163,gym,relationship
303,25,31,182,gym,marriage
304,23,34,189,gym,relationship
305,25,26,172,spiritual,marriage
306,24,26,159,gym,relationship
307,23,31,180,party,dating
308,19,20,165,gym,marriage
309,20,31,167,spiritual,marriage
310,23,32,171,spiritual,dating
311,20,30,181,gym,marriage
312,18,26,167,party,relationship
313,20,32,180,gym,relationship
314,18,35,155,gym,marriage
315,22,32,188,gym,relationship
316,20,26,170,spiritual,dating
317,21,32,185,spiritual,relationship
318,21,23,166,spiritual,marriage
319,19,24,163,party,dating
320,25,34,159,party,dating
321,24,35,178,party,relationship
322,24,25,182,gym,relationship
323,24,25,167,balanced,relationship
324,25,35,169,party,relationship
325,24,35,165,party,marriage
326,22,30,159,spiritual,marriage
327,18,32,159,gym,marriage
328,20,33,157,balanced,relationship
329,24,29,184,balanced,relationship
330,23,28,185,spiritual,relationship
331,20,28,176,gym,marriage
332,25,31,189,gym,relationship
333,22,27,173,party,relationship
334,23,27,167,balanced,relationship
335,21,35,176,spiritual,relationship
336,22,32,182,party,marriage
337,20,33,173,party,marriage
338,23,35,189,balanced,dating
339,25,35,188,party,dating
340,22,33,170,party,marriage
341,23,26,186,balanced,dating
342,24,32,172,spiritual,marriage
343,23,26,171,gym,relationship
344,19,32,190,spiritual,dating
345,19,26,171,spiritual,relationship
346,22,31,181,party,relationship
347,18,32,186,gym,relationship
348,24,31,175,gym,dating
349,20,22,178,gym,dating
350,19,28,161,balanced,dating
351,19,33,168,gym,marriage
352,18,19,162,balanced,marriage
353,22,27,182,party,dating
354,21,31,172,balanced,dating
355,20,21,190,balanced,dating
356,20,33,179,party,marriage
357,18,24,160,balanced,relationship
358,19,23,170,spiritual,dating
359,21,29,165,party,dating
360,22,24,155,party,marriage
361,22,29,179,spiritual,dating
362,21,23,160,spiritual,marriage
363,25,33,164,spiritual,marriage
364,24,25,189,balanced,dating
365,25,32,188,balanced,relationship
366,18,34,187,spiritual,relationship
367,21,27,164,gym,marriage
368,24,27,180,party,dating
369,23,29,180,balanced,dating
370,22,26,179,spiritual,dating
371,21,32,159,spiritual,marriage
372,18,31,177,balanced,relationship
373,18,34,182,spiritual,relationship
374,19,33,171,balanced,dating
375,22,28,171,spiritual,dating
376,20,24,188,party,dating
377,24,30,158,party,dating
378,20,22,190,gym,relationship
379,19,28,183,party,relationship
380,20,34,182,balanced,dating
381,21,28,174,party,marriage
382,19,27,160,gym,marriage
383,20,25,190,spiritual,relationship
384,20,24,156,party,marriage
385,19,22,161,balanced,dating
386,19,34,190,balanced,marriage
387,20,23,189,party,dating
388,18,29,165,balanced,marriage
389,18,35,187,gym,relationship
390,20,23,158,spiritual,dating
391,20,24,178,balanced,relationship
392,21,29,166,gym,marriage
393,21,24,157,gym,relationship
394,20,21,173,spiritual,marriage
395,25,32,190,spiritual,marriage
396,25,34,177,spiritual,relationship
397,24,27,187,spiritual,dating
398,18,25,159,balanced,relationship
399,19,33,179,spiritual,relationship
400,23,24,175,spiritual,dating
401,18,25,182,party,relationship
402,20,31,174,spiritual,dating
403,20,21,169,spiritual,relationship
404,25,32,184,spiritual,relationship
405,21,29,163,spiritual,dating
406,21,24,161,balanced,relationship
407,18,30,184,spiritual,marriage
408,24,26,173,balanced,marriage
409,25,26,185,gym,relationship
410,23,27,174,party,dating
411,19,24,190,balanced,dating
412,18,35,168,balanced,dating
413,25,32,176,spiritual,relationship
414,23,28,178,gym,marriage
415,19,34,186,spiritual,marriage
416,18,35,159,party,relationship
417,23,34,183,balanced,dating
418,20,33,167,gym,marriage
419,24,29,180,party,dating
420,18,28,155,party,dating
421,24,34,167,spiritual,dating
422,24,33,171,party,dating
423,19,25,157,balanced,marriage
424,25,27,169,spiritual,dating
425,25,27,160,spiritual,relationship
426,23,31,171,balanced,marriage
