user_id,age,gender,lifestyle,intent,education
0,19,F,moderate,dating,school
1,33,F,moderate,dating,master
2,35,F,sedentary,serious,master
3,21,F,moderate,serious,bachelor
4,29,M,moderate,dating,master
5,31,M,active,serious,bachelor
6,28,M,sedentary,serious,phd
7,21,M,moderate,friendship,master
8,32,F,moderate,dating,master
9,27,F,moderate,serious,bachelor
10,19,M,sedentary,dating,school
11,18,M,sedentary,friendship,phd
12,24,F,sedentary,serious,school
13,19,F,sedentary,serious,school
14,20,M,sedentary,dating,bachelor
15,22,F,sedentary,serious,master
16,29,F,active,serious,master
17,28,M,active,serious,master
18,25,F,moderate,serious,bachelor
19,32,F,sedentary,dating,phd
20,29,F,sedentary,friendship,school
21,31,M,sedentary,friendship,phd
22,33,M,active,serious,school
23,21,M,active,serious,master
24,18,M,active,dating,master
25,21,F,active,serious,school
26,24,M,moderate,serious,master
27,18,M,active,friendship,phd
28,19,M,active,friendship,phd
29,18,M,active,serious,master
30,30,F,sedentary,friendship,master
31,25,M,active,dating,school
32,21,F,active,dating,master
33,24,M,sedentary,serious,master
34,19,F,moderate,serious,master
35,21,M,sedentary,dating,school
36,28,M,active,serious,bachelor
37,35,M,active,friendship,master
38,21,F,moderate,friendship,school
39,19,M,moderate,serious,phd
40,23,F,moderate,dating,master
41,25,F,moderate,friendship,phd
42,28,F,sedentary,serious,phd
43,22,M,active,dating,phd
44,18,F,active,dating,master
45,26,F,active,friendship,school
46,31,F,moderate,friendship,bachelor
47,18,F,sedentary,serious,master
48,25,M,moderate,dating,phd
49,19,M,active,serious,master
50,30,M,sedentary,friendship,school
51,29,M,moderate,serious,school
52,27,M,active,serious,phd
53,29,M,sedentary,serious,bachelor
54,21,M,sedentary,friendship,master
55,31,M,moderate,serious,school
56,27,M,moderate,serious,phd
57,24,F,active,friendship,phd
58,21,F,active,friendship,bachelor
59,27,M,sedentary,serious,master
60,33,M,active,serious,phd
61,22,M,sedentary,friendship,school
62,28,M,moderate,friendship,bachelor
63,29,M,sedentary,serious,master
64,27,M,moderate,friendship,phd
65,29,M,active,friendship,bachelor
66,19,F,active,dating,school
67,20,M,active,friendship,phd
68,24,M,active,friendship,phd
69,33,M,active,dating,bachelor
70,20,M,active,serious,school
71,29,F,sedentary,serious,school
72,18,M,sedentary,friendship,phd
73,25,F,moderate,serious,bachelor
74,26,M,moderate,dating,bachelor
75,31,M,active,dating,master
76,28,F,sedentary,serious,master
77,27,M,sedentary,dating,bachelor
78,29,M,sedentary,dating,school
79,35,M,moderate,friendship,master
80,28,F,active,dating,phd
81,22,F,sedentary,serious,school
82,35,F,active,dating,bachelor
83,32,M,active,dating,bachelor
84,33,M,active,dating,school
85,35,M,active,serious,bachelor
86,19,F,moderate,serious,master
87,25,F,active,serious,phd
88,24,F,active,dating,bachelor
89,21,F,active,friendship,master
90,32,F,sedentary,dating,master
91,22,F,moderate,serious,school
92,27,F,sedentary,friendship,master
93,24,M,sedentary,serious,school
94,30,F,sedentary,friendship,phd
95,20,M,active,friendship,phd
96,19,M,sedentary,serious,master
97,24,M,moderate,dating,bachelor
98,25,F,moderate,dating,master
99,21,F,sedentary,friendship,phd
100,27,F,active,friendship,bachelor
101,25,M,active,serious,bachelor
102,35,M,sedentary,friendship,school
103,34,F,sedentary,dating,phd
104,24,F,moderate,friendship,phd
105,28,M,sedentary,friendship,master
106,23,M,sedentary,friendship,bachelor
107,33,F,sedentary,dating,bachelor
108,24,M,sedentary,serious,phd
109,18,M,sedentary,friendship,phd
110,25,M,active,friendship,school
111,35,M,sedentary,friendship,master
112,32,F,sedentary,friendship,phd
113,31,M,active,friendship,school
114,18,M,active,dating,bachelor
115,28,F,active,friendship,master
116,28,M,moderate,dating,phd
117,25,F,moderate,dating,school
118,30,F,active,serious,master
119,19,M,active,dating,phd
120,27,F,active,serious,phd
121,34,M,active,friendship,school
122,24,M,sedentary,serious,school
123,30,M,moderate,serious,school
124,24,F,moderate,dating,bachelor
125,19,F,moderate,serious,master
126,24,F,moderate,serious,bachelor
127,25,F,sedentary,friendship,master
128,23,F,active,dating,master
129,33,M,active,friendship,school
130,22,M,sedentary,friendship,master
131,30,F,sedentary,serious,phd
132,23,F,moderate,friendship,phd
133,23,F,active,friendship,master
134,18,F,sedentary,friendship,phd
135,24,F,sedentary,friendship,master
136,24,M,moderate,dating,bachelor
137,33,F,sedentary,serious,phd
138,23,F,moderate,serious,master
139,35,M,sedentary,serious,school
140,25,M,active,dating,phd
141,26,M,moderate,dating,bachelor
142,20,M,active,dating,bachelor
143,29,F,sedentary,friendship,school
144,25,F,sedentary,friendship,master
145,27,F,moderate,serious,bachelor
146,20,M,active,friendship,bachelor
147,24,M,active,dating,school
148,32,M,sedentary,friendship,phd
149,29,F,sedentary,dating,bachelor
150,28,F,active,serious,school
151,32,F,active,dating,phd
152,31,M,moderate,dating,school
153,26,M,active,friendship,master
154,23,M,moderate,friendship,school
155,20,M,moderate,serious,school
156,22,M,active,friendship,bachelor
157,30,M,sedentary,friendship,bachelor
158,27,M,active,friendship,phd
159,25,F,sedentary,friendship,bachelor
160,18,M,sedentary,friendship,master
161,25,F,moderate,serious,phd
162,33,M,sedentary,friendship,master
163,28,F,sedentary,friendship,school
164,22,M,moderate,serious,phd
165,27,M,sedentary,serious,school
166,35,F,sedentary,dating,phd
167,33,M,active,friendship,school
168,32,M,sedentary,serious,school
169,27,M,moderate,serious,master
170,21,F,moderate,friendship,phd
171,24,F,active,dating,school
172,31,M,moderate,friendship,master
173,31,F,sedentary,serious,bachelor
174,30,M,sedentary,friendship,bachelor
175,27,M,moderate,dating,bachelor
176,25,F,moderate,serious,school
177,24,M,active,serious,bachelor
178,33,M,moderate,dating,master
179,28,M,active,friendship,bachelor
180,24,M,moderate,serious,master
181,30,F,moderate,serious,school
182,32,M,sedentary,dating,bachelor
183,24,M,moderate,dating,master
184,24,M,active,friendship,bachelor
185,26,F,sedentary,serious,master
186,23,M,sedentary,dating,phd
187,35,M,active,friendship,master
188,20,M,moderate,serious,school
189,24,F,moderate,friendship,bachelor
190,27,M,moderate,serious,bachelor
191,22,F,active,dating,phd
192,19,M,moderate,serious,school
193,18,M,active,dating,school
194,35,F,sedentary,dating,phd
195,21,M,active,serious,bachelor
196,30,M,sedentary,serious,master
197,24,M,sedentary,friendship,school
198,20,F,moderate,serious,bachelor
199,24,M,sedentary,serious,bachelor
200,32,F,sedentary,dating,master
201,19,F,moderate,serious,master
202,33,M,active,friendship,bachelor
203,24,F,sedentary,serious,bachelor
204,30,F,active,serious,school
205,35,M,moderate,serious,phd
206,25,F,active,serious,master
207,18,M,moderate,friendship,master
208,22,M,active,friendship,phd
209,29,M,sedentary,serious,school
210,30,M,moderate,dating,master
211,30,F,moderate,friendship,master
212,21,M,moderate,dating,phd
213,33,M,active,serious,phd
214,26,F,active,dating,bachelor
215,30,F,sedentary,serious,phd
216,35,F,sedentary,serious,bachelor
217,23,M,active,serious,phd
218,21,F,moderate,serious,master
219,29,M,moderate,friendship,master
220,23,M,sedentary,serious,phd
221,30,F,active,dating,phd
222,19,M,active,friendship,phd
223,25,F,moderate,serious,master
224,32,M,active,serious,bachelor
225,23,M,sedentary,serious,bachelor
226,19,M,moderate,friendship,phd
227,26,F,active,dating,phd
228,33,M,moderate,serious,master
229,26,F,active,dating,bachelor
230,18,M,sedentary,serious,school
231,27,F,sedentary,friendship,master
232,28,M,active,serious,master
233,19,F,sedentary,serious,bachelor
234,24,M,sedentary,serious,master
235,21,M,sedentary,friendship,master
236,18,M,sedentary,friendship,bachelor
237,33,F,moderate,friendship,school
238,33,F,active,serious,school
239,35,F,moderate,serious,phd
240,30,F,sedentary,dating,master
241,24,M,moderate,dating,school
242,29,F,sedentary,dating,phd
243,29,M,active,serious,phd
244,21,M,sedentary,friendship,school
245,22,F,sedentary,serious,master
246,28,M,sedentary,dating,phd
247,22,F,moderate,serious,master
248,27,M,active,serious,phd
249,35,M,active,friendship,phd
250,30,M,sedentary,dating,school
251,25,F,moderate,dating,school
252,29,M,moderate,friendship,school
253,22,F,sedentary,serious,phd
254,26,M,sedentary,friendship,master
255,24,M,active,serious,bachelor
256,32,M,active,serious,bachelor
257,20,M,active,friendship,master
258,23,M,sedentary,friendship,master
259,25,F,sedentary,dating,bachelor
260,33,F,moderate,friendship,master
261,33,F,sedentary,friendship,bachelor
262,18,M,moderate,dating,school
263,19,M,sedentary,friendship,phd
264,18,M,active,serious,phd
265,24,F,sedentary,serious,phd
266,34,M,active,friendship,phd
267,33,F,moderate,friendship,phd
268,25,M,active,dating,phd
269,27,F,moderate,dating,master
270,30,F,sedentary,friendship,school
271,22,M,sedentary,friendship,school
272,19,F,sedentary,serious,phd
273,20,F,sedentary,friendship,bachelor
274,20,F,moderate,friendship,phd
275,21,M,moderate,dating,bachelor
276,28,M,active,serious,master
277,22,M,moderate,friendship,bachelor
278,35,M,moderate,friendship,phd
279,24,F,active,serious,school
280,26,F,sedentary,dating,school
281,24,M,active,dating,school
282,30,M,active,dating,school
283,19,M,moderate,serious,school
284,25,F,sedentary,serious,bachelor
285,26,M,active,friendship,phd
286,27,M,active,dating,bachelor
287,25,F,sedentary,friendship,phd
288,35,F,sedentary,friendship,bachelor
289,32,M,active,dating,master
290,28,M,moderate,friendship,school
291,18,M,active,friendship,school
292,29,M,active,serious,school
293,28,F,active,dating,school
294,23,F,sedentary,serious,phd
295,23,M,active,friendship,school
296,29,M,moderate,serious,master
297,28,M,moderate,serious,phd
298,35,F,sedentary,friendship,phd
299,22,M,sedentary,dating,bachelor
300,27,F,active,dating,master
301,23,M,active,dating,bachelor
302,29,F,moderate,serious,school
303,34,M,moderate,friendship,school
304,24,F,active,serious,school
305,35,M,sedentary,dating,phd
306,34,F,active,friendship,bachelor
307,28,F,moderate,serious,school
308,25,M,active,dating,phd
309,19,F,moderate,friendship,master
310,28,M,active,friendship,phd
311,32,M,sedentary,dating,phd
312,23,M,moderate,dating,school
313,28,F,moderate,friendship,master
314,22,M,active,dating,bachelor
315,24,F,moderate,dating,bachelor
316,32,F,moderate,dating,phd
317,21,F,moderate,serious,bachelor
318,24,M,sedentary,serious,school
319,31,M,active,serious,bachelor
320,33,M,sedentary,serious,school
321,27,F,moderate,dating,school
322,34,M,moderate,serious,master
323,26,F,moderate,friendship,school
324,29,F,active,serious,master
325,26,M,sedentary,friendship,bachelor
326,29,F,sedentary,serious,phd
327,32,M,sedentary,serious,bachelor
328,32,F,moderate,friendship,bachelor
329,27,F,moderate,friendship,school
330,33,F,active,serious,school
331,29,M,moderate,dating,master
332,34,M,sedentary,dating,phd
333,30,M,moderate,dating,phd
334,22,F,moderate,dating,phd
335,25,F,moderate,dating,phd
336,22,F,moderate,friendship,school
337,19,M,moderate,serious,phd
338,18,M,sedentary,serious,master
339,25,F,sedentary,serious,school
340,22,F,sedentary,dating,phd
341,21,F,moderate,friendship,master
342,24,M,active,dating,master
343,22,F,active,serious,bachelor
344,25,F,active,serious,phd
345,26,M,moderate,friendship,bachelor
346,29,F,active,friendship,master
347,33,M,sedentary,friendship,master
348,24,F,sedentary,serious,phd
349,24,F,moderate,dating,master
350,33,F,active,serious,school
351,23,M,moderate,friendship,phd
352,20,M,active,serious,master
353,30,F,moderate,dating,school
354,23,M,active,serious,master
355,25,M,active,friendship,bachelor
356,19,F,active,dating,master
357,24,F,moderate,friendship,school
358,22,M,moderate,friendship,master
359,19,M,active,serious,master
360,20,M,active,serious,bachelor
361,27,F,active,dating,phd
362,29,M,sedentary,dating,master
363,23,M,moderate,serious,bachelor
364,27,F,moderate,friendship,phd
365,26,M,sedentary,friendship,master
366,26,F,moderate,friendship,school
367,33,M,moderate,dating,master
368,26,F,moderate,friendship,master
369,26,F,sedentary,serious,school
370,30,M,sedentary,serious,master
371,26,F,sedentary,dating,school
372,21,M,active,serious,school
373,20,M,sedentary,dating,phd
374,24,M,moderate,dating,master
375,34,F,sedentary,dating,school
376,21,M,sedentary,serious,bachelor
377,20,F,active,dating,bachelor
378,27,F,sedentary,serious,school
379,29,F,sedentary,friendship,master
380,23,F,moderate,friendship,school
381,27,M,moderate,dating,master
382,31,M,moderate,dating,phd
383,20,M,active,dating,school
384,23,M,moderate,friendship,phd
385,33,F,sedentary,friendship,bachelor
386,28,M,active,dating,phd
387,31,F,moderate,friendship,bachelor
388,29,F,moderate,dating,school
389,27,M,active,dating,phd
390,32,M,moderate,dating,master
391,24,M,active,dating,school
392,29,M,sedentary,dating,school
393,22,F,moderate,friendship,phd
394,27,F,moderate,friendship,phd
395,34,M,active,serious,master
396,21,M,active,friendship,phd
397,19,M,moderate,dating,master
398,26,M,sedentary,serious,bachelor
399,28,F,active,dating,phd
400,34,M,active,friendship,phd
401,24,M,active,friendship,school
402,30,M,active,friendship,school
403,33,M,active,dating,bachelor
404,23,F,moderate,serious,phd
405,27,F,sedentary,serious,bachelor
406,27,M,sedentary,friendship,bachelor
407,30,M,sedentary,friendship,master
408,22,M,active,friendship,phd
409,24,M,sedentary,friendship,school
410,24,M,sedentary,serious,phd
411,21,M,sedentary,friendship,master
412,33,M,active,dating,master
413,35,F,active,dating,master
414,30,M,sedentary,serious,bachelor
415,33,F,active,friendship,master
416,28,M,sedentary,serious,master
417,25,M,moderate,dating,bachelor
418,27,F,active,dating,master
419,27,M,sedentary,serious,phd
420,34,M,moderate,friendship,bachelor
421,28,F,sedentary,friendship,school
422,22,F,sedentary,friendship,phd
423,23,M,moderate,dating,phd
424,22,M,moderate,friendship,phd
425,23,M,moderate,friendship,bachelor
426,21,F,moderate,serious,school
427,30,F,moderate,dating,master
428,29,F,active,serious,school
429,27,M,moderate,friendship,bachelor
430,30,M,active,dating,master
431,21,M,sedentary,friendship,phd
432,27,M,moderate,friendship,phd
433,23,F,sedentary,dating,school
434,22,F,active,dating,school
435,27,F,sedentary,serious,school
436,24,M,moderate,dating,school
437,21,M,active,friendship,bachelor
438,21,F,moderate,serious,school
439,21,M,sedentary,friendship,school
440,21,F,moderate,dating,master
441,24,M,active,friendship,bachelor
442,27,M,moderate,friendship,phd
443,33,F,active,serious,school
444,24,M,moderate,serious,phd
445,21,M,moderate,friendship,school
446,35,F,sedentary,dating,school
447,20,F,active,dating,school
448,18,M,sedentary,friendship,bachelor
449,35,F,moderate,serious,phd
450,22,F,sedentary,serious,phd
451,23,M,moderate,serious,master
452,31,M,moderate,serious,phd
